root,pos,common
kanti,misc,True
kapo,N,False
kapabla,A,False
kapti,misc,True
kara,A,True
karbo,N,False
karto,N,False
kasedo,N,False
kaŝi,misc,False
kato,N,False
kaŭzo,N,True
kazo,N,False
ke,misc,True
kelka,A,True
kia,A,True
kial,misc,True
kiam,misc,True
kie,misc,True
kiel,misc,True
kies,misc,True
kilogramo,N,False
kilometro,N,False
kio,N,True
kiom,misc,True
kiu,misc,True
kisi,misc,False
klara,A,True
klaso,N,True
klini,misc,False
klopodi,VI,False
klubo,N,True
knabo,N,True
kolo,N,False
kolekti,misc,True
koleri,misc,False
koloro,N,True
kombi,misc,False
komenci,misc,True
komerci,misc,True
komforta,A,False
komisii,misc,False
komitato,N,False
kompari,misc,False
kompati,misc,False
kompreni,misc,True
komputi,misc,False
komuna,A,True
komuniki,misc,False
koni,misc,True
koncerni,misc,False
kondiĉo,N,False
konduki,misc,False
konfesi,misc,False
kongreso,N,True
konkreta,A,False
konsenti,misc,True
konservi,misc,False
konsideri,misc,False
konsili,misc,True
konsisti,VI,False
konstanta,A,False
konstrui,misc,True
kontakto,N,True
kontenta,A,True
kontraŭ,misc,True
kontroli,misc,False
konveni,VI,False
konvinki,misc,False
kopii,misc,False
koro,N,False
korbo,N,False
korespondi,VI,False
korpo,N,False
korto,N,False
kosti,misc,True
kostumo,N,False
koverto,N,False
kovri,misc,False
krajono,N,False
krei,misc,False
kredi,misc,True
kreski,VI,False
krii,VI,False
krom,misc,True
kruela,A,False
kruro,N,False
kudri,misc,False
kuiri,misc,True
kuko,N,False
kulero,N,False
kulpa,A,False
kulturi,misc,True
kun,misc,True
kupono,N,False
kuri,VI,False
kuraci,misc,False
kuraĝa,A,False
kurso,N,True
kuŝi,misc,True
kutimi,misc,False
kuzo,N,False
kvadrato,N,False
kvalito,N,False
kvankam,misc,False
kvanto,N,False
kvar,misc,True
kvazaŭ,misc,False
kvin,misc,True
la,A,True
labori,misc,True
laca,A,False
lago,N,True
lakto,N,True
lando,N,True
lango,N,False
larĝa,A,True
lasi,misc,True
lasta,A,True
laŭ,misc,True
lavi,misc,True
leciono,N,True
legi,misc,True
legomo,N,False
leĝo,N,False
lerni,misc,True
lerta,A,False
letero,N,True
levi,misc,True
li,misc,True
libera,A,True
libro,N,True
ligi,misc,True
ligno,N,False
limo,N,False
lingvo,N,True
linio,N,False
lipo,N,False
listo,N,False
lito,N,False
litero,N,False
literaturo,N,True
loĝi,misc,True
loko,N,True
longa,A,True
ludi,misc,True
lumo,N,False
luno,N,False
lundo,N,True
majo,N,True
mal-,pre,True
mano,N,True
manĝi,misc,True
maniero,N,True
manki,misc,True
mantelo,N,False
maro,N,True
mardo,N,True
marko,N,True
marŝi,VI,False
marto,N,True
mastro,N,False
maŝino,N,True
mateno,N,True
materialo,N,False
meblo,N,False
medio,N,False
mem,misc,True
membro,N,True
memoro,N,True
mendi,misc,False
menso,N,False
meriti,misc,False
merkredo,N,True
meti,misc,True
metalo,N,False
metodo,N,True
metro,N,False
mezo,N,True
mezuri,misc,False
mi,misc,True
miksi,misc,False
mil,misc,True
miliono,N,True
militi,misc,True
minus,misc,True
minuto,N,True
miri,misc,True
moderna,A,False
moki,misc,False
mola,A,False
momento,N,False
mono,N,True
monato,N,True
mondo,N,True
monto,N,True
montri,misc,True
morgaŭ,misc,True
morti,VI,False
movi,misc,True
multa,A,True
muro,N,False
muŝo,N,False
muzeo,N,False
muziko,N,True
-n,suf,True
nacio,N,True
naĝi,VI,False
naski,misc,True
naturo,N,True
naŭ,misc,True
nazo,N,False
ne,misc,True
nebulo,N,False
necesa,A,True
neĝo,N,False
nek,misc,False
nenia,A,True
neniam,misc,True
nenie,misc,True
neniel,misc,True
nenio,N,True
nepo,N,False
nepre,misc,False
nevo,N,False
neŭtrala,A,False
ni,misc,True
nigra,A,False
nivelo,N,False
nokto,N,True
nomo,N,True
nombro,N,False
nordo,N,False
normala,A,False
noti,misc,False
nova,A,True
novembro,N,True
nu,misc,False
nubo,N,False
nulo,N,False
numero,N,True
nun,misc,True
nur,misc,True
-o,suf,True
obei,misc,False
objekto,N,False
-obl,suf,True
odori,misc,False
ofico,N,True
ofte,misc,True
ok,misc,True
okazi,misc,True
okcidento,N,False
oktobro,N,True
okulo,N,False
okupi,misc,True
ol,misc,True
oleo,N,False
-on,suf,True
oni,misc,True
onklo,N,False
-ont,suf,True
opinio,N,True
oro,N,False
ordo,N,False
ordinara,A,True
ordoni,misc,False
orelo,N,False
organizi,misc,True
oriento,N,False
originala,A,False
-os,suf,True
osto,N,False
-ot,suf,True
ovo,N,False
paco,N,False
pagi,misc,True
paĝo,N,True
pako,N,False
palpi,misc,False
pano,N,True
pantalono,N,False
papero,N,True
paro,N,False
pardoni,misc,True
parko,N,False
paroli,misc,True
parto,N,True
pasi,misc,False
paŝi,VI,False
patro,N,True
peco,N,True
peni,VI,False
pendi,misc,True
pensi,misc,True
pentri,misc,False
per,misc,True
perdi,misc,True
perfekta,A,False
periodo,N,False
permesi,misc,True
persono,N,True
peti,misc,True
pezi,VI,False
piedo,N,True
piki,misc,False
pilko,N,False
plaĉi,misc,True
plafono,N,False
plano,N,False
planko,N,False
planto,N,False
plasto,N,False
plej,misc,True
plena,A,True
plendi,VI,False
plezuro,N,True
pli,misc,True
plor,misc,False
plu,misc,True
plumo,N,False
pluraj,misc,True
plus,misc,False
pluvo,N,False
po,N,False
poemo,N,True
poento,N,False
poezio,N,False
polico,N,False
politiko,N,False
ponto,N,False
popolo,N,True
populara,A,False
por,misc,True
pordo,N,True
porti,misc,True
post,misc,True
postuli,misc,False
poŝo,N,False
poŝto,N,True
poto,N,False
povi,misc,True
praktiko,N,False
pravi,misc,False
precipe,misc,True
preciza,A,False
preferi,misc,True
preĝi,VI,False
prelegi,misc,False
premi,misc,False
